company	ERROR	crunchbaseURL	founders__name	founders__links__Custom	founders__links__Facebook	founders__links__LinkedIn	founders__links__Twitter
Strayos		https://www.crunchbase.com/organization/strayos	Ali Ahmadi			https://www.linkedin.com/in/aliahmadimba?authType=OPENLINK&authToken=B1vz&locale=en_US&srchid=3856748041487234550364&srchindex=2&srchtotal=6&trk=vsrp_people_res_name&trkInfo=VSRPsearchId%3A3856748041487234550364%2CVSRPtargetId%3A143850912%2CVSRPcmpt%3Aprimary%2CVSRPnm%3Afalse%2CauthType%3AOPENLINK	
			Ravi Sahu			https://www.linkedin.com/in/ravisahu15	
							https://twitter.com/ravisahu15?lang=en
TypeLead		https://www.crunchbase.com/organization/typelead	Jyothsna Patnam		https://www.facebook.com/jyothsnasrin		
						https://www.linkedin.com/in/jyothsnasrinivas	
							https://twitter.com/jyothsnasrin
			Rahul Muttineni		https://www.facebook.com/rahul.muttineni		
						https://www.linkedin.com/in/rahul-muttineni-a12768126	
							https://twitter.com/rahulmutt
Rapid RMS		https://www.crunchbase.com/organization/rapid-rms	Jason Luna				
			Nirav Patel			https://www.linkedin.com/pub/nirav-patel/68/602/33a	
Immersed Inc.		https://www.crunchbase.com/organization/immersedteam	Renji Bijoy			https://www.linkedin.com/in/renjibijoy/	
							https://twitter.com/RenjiBijoy
4Degrees		https://www.crunchbase.com/organization/4degrees	Ablorde Ashigbi			https://www.linkedin.com/in/ablordeashigbi	
							https://twitter.com/@ablordesays
			David Vandegrift	http://davidvandegrift.com/			
						https://www.linkedin.com/in/dvandegrift/	
							http://twitter.com/davidvandegrift
RoadBotics		https://www.crunchbase.com/organization/roadbotics-inc	"Benjamin Schmidt, PhD"			https://www.linkedin.com/in/schmidtbt/	
							https://twitter.com/IamBenSchmidt
			Christoph Mertz			https://www.linkedin.com/in/christoph-mertz-246978b/	
			Courtney Ehrlichman	http://ehrlichmangroup.com/			
						https://www.linkedin.com/in/cehrlichman/	
							https://twitter.com/c_ehrlichman
			Mark DeSantis	https://bloomfield.ai/			
						https://www.linkedin.com/in/mark-desantis-21480	
Harbor		https://www.crunchbase.com/organization/harbor-pension	Nicholas Moy			https://www.linkedin.com/in/nicholas-moy/	
							https://twitter.com/thenickmoy
			William Rueter			https://www.linkedin.com/in/william-rueter-95117b2b/	
Swag.com		https://www.crunchbase.com/organization/swag-com	Jeremy Parker	http://www.swag.com/			
						https://www.linkedin.com/in/jeremyianparker/	
			Joshua Orbach			https://www.linkedin.com/in/joshuaorbach/	
Allie		https://www.crunchbase.com/organization/allie-2	Emilie Hsieh			https://www.linkedin.com/in/emiliehsieh/	
Abode		https://www.crunchbase.com/organization/abode-3	Carson Junginger		https://www.facebook.com/carsonj		
						https://www.linkedin.com/in/carsonjunginger/	
							https://twitter.com/carsonj
			Kyle Stoner		https://www.facebook.com/kyle.stoner		
						https://www.linkedin.com/in/kylestoner1/	
							https://twitter.com/kwstoner
Elemetric		https://www.crunchbase.com/organization/elemetric	Daniel Mason			https://www.linkedin.com/in/danielmason1/	
							http://www.twitter.com/dgmason
			Paul Cowgill	https://cowgill.io/			
						https://www.linkedin.com/in/pcowgill	
							http://twitter.com/paulcowgill
Omelas		https://www.crunchbase.com/organization/omelas	Benjamin Dubow			https://www.linkedin.com/in/benjamin-d-03544851/	
			Bjørn Ihler			https://www.linkedin.com/in/bjornih/	
			Evanna Hu			https://www.linkedin.com/in/evannahu/	
							https://twitter.com/evannahu
Paladin		https://www.crunchbase.com/organization/paladin-2	Felicity Conrad			https://www.linkedin.com/in/felicityconrad/	
							https://twitter.com/felicity_conrad
			Kristen Sonday		https://www.facebook.com/kristen.sonday		
						https://www.linkedin.com/in/kristensonday/	
							https://twitter.com/kristensonday
Seer Aerospace		https://www.crunchbase.com/organization/seer-aerospace	Ben Frank				
			Evan Wang				
Landing Lion		https://www.crunchbase.com/organization/landing-lion	Alan Pledger		https://www.facebook.com/alan.pledger.9		
						https://www.linkedin.com/in/alan-pledger-74858938/	
							https://twitter.com/appledger
			Craig McCown			https://www.linkedin.com/in/craig-mccown/	
			Phil Pledger			https://www.linkedin.com/in/phil-pledger-4801a415/	
							https://twitter.com/philpledger
https://www.crunchbase.com/organization/kokko-inc	Broken URL						
ShopTurn		https://www.crunchbase.com/organization/shopturn	Ari Hyman				
			Jonathan Nassimi			https://www.linkedin.com/in/nassimijonathan/	
Local Crate		https://www.crunchbase.com/organization/local-crate-923f	Frank Jackman		https://www.facebook.com/frank32j		
						https://www.linkedin.com/in/frank-jackman-7759b6aa/	
			Michael Stalbaum		https://www.facebook.com/mike.stalbaum		
						https://www.linkedin.com/in/michael-stalbaum-2328aa18/	
BYBE		https://www.crunchbase.com/organization/bybe-inc	Drew Knight			https://www.linkedin.com/in/drew-knight-93ab2a60/	
							https://twitter.com/realdrewknight
			Ryan Moore			https://www.linkedin.com/in/ryan-moore-76a82850/	
							https://twitter.com/ryanmooreoh
Savitude		https://www.crunchbase.com/organization/savitude-inc	Beth Blecherman	http://www.savitude.com/			
					https://www.facebook.com/savitudewomen/		
						https://www.linkedin.com/in/bethblecherman	
							https://twitter.com/savitudewomen
			Camilla Olson				
			Jungah Lee				
			Kelli Howard			https://www.linkedin.com/in/kelli-howard-81274a17/	
			Nick Clayton			https://www.linkedin.com/in/nicholas-clayton-b6b60815/	
TeacherTalent		https://www.crunchbase.com/organization/teachertalent	Jose Bethancourt	https://joseb.me/			
						https://linkedin.com/in/josebethancourt	
			Michael Barnes				
DirecTech Labs		https://www.crunchbase.com/organization/directechlabs	Jordan Zommick				
			Michel Bayan			https://www.linkedin.com/in/michelbayan/	
							http://twitter.com/MichelBayan
Air Tailor		https://www.crunchbase.com/organization/air-tailor	Brian Flynn		https://www.facebook.com/bflynny		
						https://www.linkedin.com/in/bflynn1/	
							https://twitter.com/bdflynny
			Joshua Brueckner		https://www.facebook.com/joshua.brueckner		
						https://www.linkedin.com/in/joshuabrueckner/	
							https://twitter.com/jabrueckner
Botnik Studios		https://www.crunchbase.com/organization/botnik-studios					
Ritmoji		https://www.crunchbase.com/organization/ritmoji	Jake Harper				
Novel Effect		https://www.crunchbase.com/organization/novel-effect-inc	Kevin Coulton		https://www.facebook.com/kevincoulton		
						https://www.linkedin.com/in/kevin-coulton-66174031	
			Matthew Hammersley			https://www.linkedin.com/in/matthammersley	
			Melissa Hammersley			https://www.linkedin.com/in/melissa-hammersley-08456784	
			Melody Furze			https://www.linkedin.com/in/melody-furze-30aa31a8	
			Mike Furze				
Radiomaze		https://www.crunchbase.com/organization/radiomaze	Francescantonio Della Rosa		https://www.facebook.com/francescantonio.dellarosa		
						https://www.linkedin.com/in/francescantonio-della-rosa-908ba57/	
			Mauro Pelosi		https://www.facebook.com/mauropelosidapicinisco		
						https://www.linkedin.com/in/mauropelosi/	
Brook		https://www.crunchbase.com/organization/brook-ai	Oren Nissim			https://www.linkedin.com/in/orennissim/	
Playfull		https://www.crunchbase.com/organization/playfull	Alex Hesselgrave			https://www.linkedin.com/in/ahesselgrave/	
			Patrick Lu		https://www.facebook.com/P3tricks		
						https://www.linkedin.com/in/patrickmlu/	
							https://twitter.com/P3tricks
			Zhuping Hu			https://www.linkedin.com/in/zhupinghu	
Nameless Network		https://www.crunchbase.com/organization/nameless	Alexandra Serio				
			k r				
			Maxwell Nelson				
Pulse Labs		https://www.crunchbase.com/organization/pulse-labs-b728	Abhishek Suthan		https://www.facebook.com/asuthan		
						https://www.linkedin.com/in/asuthan/	
			Dylan Zwick		https://www.facebook.com/pzwick1		
						https://www.linkedin.com/in/dylanzwick/	
							https://twitter.com/pulselabs_cpo?lang=en
PopCom		https://www.crunchbase.com/organization/solutions-vending-international-inc	Dawn Dickson			https://www.linkedin.com/in/dawndickson	
							https://twitter.com/TheDawnDickson
Comet.ml		https://www.crunchbase.com/organization/comet-ml	Gideon Mendels			https://www.linkedin.com/in/mendels/	
			Nimrod Lahav		https://www.facebook.com/nimrod.lahav.98		
						https://www.linkedin.com/in/nimrod-lahav-59805724/	
							https://twitter.com/nimrod_lahav
Aspinity		https://www.crunchbase.com/organization/aspinity	Brandon Rumberg			https://www.linkedin.com/in/brandon-rumberg-61092935/	
			David Graham			https://www.linkedin.com/in/david-graham-24148939/	
			Tom Doyle			https://www.linkedin.com/in/tom-d-ab621110/	
			Vinod Kulathumani			https://www.linkedin.com/in/vinodkulathumani/	
Slingshot Aerospace		https://www.crunchbase.com/organization/slingshot-aerospace	David Godwin	http://www.slingshotaerospace.com/			
						http://www.linkedin.com/in/dgodwin4	
			Melanie Stricklan			http://linkedin.com/in/mstricklan	
			Thomas Ashman			https://www.linkedin.com/in/ashman/	
Hanzo		https://www.crunchbase.com/organization/hanzo	Zach Kelling		https://www.facebook.com/zeekay		
						https://www.linkedin.com/in/zeekay/	
							https://twitter.com/zeekay
Avisare		https://www.crunchbase.com/organization/avisare	Sky Kelley			https://www.linkedin.com/in/skykelley/	
							https://twitter.com/skykelley1?lang=en
Grit Virtual		https://www.crunchbase.com/organization/grit-virtual-inc	Ben Burrus			https://www.linkedin.com/in/bcburrus/	
			Chris Callen			https://www.linkedin.com/in/chris-callen-cm-bim-cm-lean-a5706831/	
							https://twitter.com/concretecallen
Maslo		https://www.crunchbase.com/organization/maslo	Cristina Poindexter				
			Ross Ingram			http://www.linkedin.com/in/rossingram	
							http://twitter.com/rossingram
Somatic Labs		https://www.crunchbase.com/organization/somatic-labs	Ajay Karpur	http://ajaykarpur.com/			
						https://www.linkedin.com/in/ajaykarpur	
							https://twitter.com/ajaykarpur
